DiseaseID	DrugID
EFO_0000365	CHEMBL1946170
EFO_0000365	CHEMBL65375
EFO_0000365	CHEMBL1201583
EFO_0000365	CHEMBL1201577
EFO_0000365	CHEMBL235668
EFO_0000373	CHEMBL2356097
EFO_0000373	CHEMBL419213
EFO_0000373	CHEMBL730
EFO_0000373	CHEMBL1557
EFO_0000373	CHEMBL926
EFO_0000373	CHEMBL471737
EFO_0000373	CHEMBL1168
EFO_0000373	CHEMBL842
EFO_0000373	CHEMBL1148
EFO_0000373	CHEMBL3137301
EFO_0000373	CHEMBL1069
EFO_0000373	CHEMBL1200659
EFO_0000373	CHEMBL1237
EFO_0000373	CHEMBL435
EFO_0000373	CHEMBL393220
EFO_0000373	CHEMBL1095097
EFO_0000373	CHEMBL434
EFO_0000373	CHEMBL1711
EFO_0000373	CHEMBL945
EFO_0000373	CHEMBL1487
EFO_0000373	CHEMBL2145077
EFO_0000373	CHEMBL1200418
EFO_0000373	CHEMBL1201593
EFO_0000373	CHEMBL344159
EFO_0000373	CHEMBL35
EFO_0000373	CHEMBL2097081
EFO_0000373	CHEMBL456
EFO_0000373	CHEMBL578
EFO_0000373	CHEMBL59
EFO_0000373	CHEMBL13
EFO_0000373	CHEMBL723
EFO_0000373	CHEMBL20
EFO_0000373	CHEMBL1200574
EFO_0000373	CHEMBL136478
EFO_0000373	CHEMBL1055
EFO_0000373	CHEMBL1560
EFO_0000373	CHEMBL1072
EFO_0000373	CHEMBL1491
EFO_0000373	CHEMBL1200402
EFO_0000373	CHEMBL1751
EFO_0000373	CHEMBL878
EFO_0000373	CHEMBL1014
EFO_0000373	CHEMBL585
EFO_0000373	CHEMBL406
EFO_0000373	CHEMBL1393
EFO_0000373	CHEMBL1398126
EFO_0000384	CHEMBL384467
EFO_0000384	CHEMBL2021430
EFO_0000384	CHEMBL635
EFO_0000384	CHEMBL389621
EFO_0000384	CHEMBL1201302
EFO_0000384	CHEMBL650
EFO_0000384	CHEMBL1370
EFO_0000384	CHEMBL1201581
EFO_0000384	CHEMBL1743087
EFO_0000384	CHEMBL1201831
EFO_0000384	CHEMBL131
EFO_0000384	CHEMBL1201607
