DrugID	CID	
CHEMBL1581	107807
CHEMBL645	2405
CHEMBL649	39147
CHEMBL35	3440
CHEMBL1560	44093
CHEMBL134	2803
CHEMBL1200343	441313
CHEMBL1200323	71412
CHEMBL2	4893
CHEMBL1201167	9827459
CHEMBL1726	4499
CHEMBL1111	6918493
CHEMBL419213	5362118
CHEMBL1200515	8550
CHEMBL1200402	60496
CHEMBL844	2435
CHEMBL423	2369
CHEMBL191	3961
CHEMBL1694	5362123
CHEMBL1671	62882
CHEMBL13	4171
CHEMBL1017	65999
CHEMBL1280	62969
CHEMBL1472989	5281064
CHEMBL1705	20179
CHEMBL181	3019
CHEMBL772	5770
CHEMBL279516	33625
